id,telecode,name,pinyin,abbr,area_code,area_name,country_code,country_name,longitude,latitude,geo_source,geo_updated_at,created_at,updated_at
40,CVK,常庄,changzhuang,cz,0602,济南,cn,中国,117.11485,37.220755,amap,2026-04-09 05:57:29.323332+00:00,2026-04-08 08:39:59.303880+00:00,2026-04-09 05:57:29.323332+00:00
41,DCT,大成,dacheng,dc,0205,沈阳,cn,中国,123.34879,41.827677,amap,2026-04-09 05:57:30.320383+00:00,2026-04-08 08:39:59.304262+00:00,2026-04-09 05:57:30.320383+00:00
42,DNZ,大拟,dani,dn,1607,南宁,cn,中国,108.519508,22.296753,amap,2026-04-09 05:57:31.320125+00:00,2026-04-08 08:39:59.304629+00:00,2026-04-09 05:57:31.320125+00:00
43,DZZ,大王滩,dawangtan,dwt,1607,南宁,cn,中国,108.28385,22.611273,amap,2026-04-09 05:57:32.361087+00:00,2026-04-08 08:39:59.304975+00:00,2026-04-09 05:57:32.361087+00:00
44,DYZ,大元,dayuan,dy,1607,南宁,cn,中国,108.353349,22.48277,amap,2026-04-09 05:57:33.381436+00:00,2026-04-08 08:39:59.309237+00:00,2026-04-09 05:57:33.381436+00:00
45,FSJ,丰水村,fengshuicun,fsc,2102,兰州,cn,中国,103.985744,36.459723,amap,2026-04-09 05:57:34.355839+00:00,2026-04-08 08:39:59.309845+00:00,2026-04-09 05:57:34.355839+00:00
46,FZS,福州,fuzhou,fz,1004,福州,cn,中国,119.320571,26.113972,amap,2026-04-09 05:57:35.361195+00:00,2026-04-08 08:39:59.310226+00:00,2026-04-09 05:57:35.361195+00:00
47,FYS,福州南,fuzhounan,fzn,1004,福州,cn,中国,119.296411,26.074286,amap,2026-04-09 05:57:36.403112+00:00,2026-04-08 08:39:59.310520+00:00,2026-04-09 05:57:36.403112+00:00
48,GDJ,甘草店,gancaodian,gcd,2102,兰州,cn,中国,104.290711,35.794065,amap,2026-04-09 05:57:37.388684+00:00,2026-04-08 08:39:59.310874+00:00,2026-04-09 05:57:37.388684+00:00
49,GAK,钢城,gangcheng,gc,0602,济南,cn,中国,117.883581,36.070783,amap,2026-04-09 05:57:38.397712+00:00,2026-04-08 08:39:59.311215+00:00,2026-04-09 05:57:38.397712+00:00
50,GKT,孤家子,gujiazi,gjz,0205,沈阳,cn,中国,123.488503,41.734811,amap,2026-04-09 05:57:39.379830+00:00,2026-04-08 08:39:59.311586+00:00,2026-04-09 05:57:39.379830+00:00
51,GNM,广南卫,guangnanwei,gnw,1902,昆明,cn,中国,102.895419,24.919757,amap,2026-04-09 05:57:40.399699+00:00,2026-04-08 08:39:59.311894+00:00,2026-04-09 05:57:40.399699+00:00
52,GIW,贵阳,guiyang,gy,1803,贵阳,cn,中国,106.702433,26.55657,amap,2026-04-09 05:57:41.393966+00:00,2026-04-08 08:39:59.312176+00:00,2026-04-09 05:57:41.393966+00:00
